Language;Reference;Token;Isogloss;Morphology;CEIPoM Token
Old Sabellic;Nerulum 1;τουτικεμ;[4] ?;O-stem;154672
Oscan;Numistro 1;μεδδικεν;[4];O-stem;154763
Old Sabellic;Interamnia Praetuttiorum 4;vepeten;[4];O-stem;151796
Old Sabellic;Asculum Picenum 1;uv/[e]pẹṭị́[n;[4];O-stem;151719
Old Sabellic;Urbs Saluia 1;vepetí[n];[4];O-stem;151686
Old Sabellic;Urbs Saluia 2;uepetín;[4];O-stem;151690
Old Sabellic;Falerio 1;mefiị́n;[4];O-stem;151696
Old Sabellic;Anxanum 1;iepeten;[4];O-stem;154501
Old Sabellic;Interpromium (?) 1;ạḳren;[4];O-stem;151968
Oscan;Teruentum 34;húrtín;[4];O-stem;151153
Oscan;Teanum Sidicinium 26;vibieis;[2];O-stem;152909
Oscan;Teanum Sidicinium 27;beriium;[2];O-stem;152916
Oscan;Teanum Sidicinium 28;beriium;[2];O-stem;152922
Oscan;Pompei 38;maamiie<í>s;[2];O-stem;153319
Oscan;Buxentum 1;μεδεικα[τεν;[3];O-stem;151270
Oscan;Buxentum 1;μεδεικατ]εν;[3];O-stem;151316
Oscan;Irinthum 1 Coinage (1, a);irnθiín;[3];O-stem;153618
Oscan;Bantia 1;ligis;[2];other;150298
Old Sabellic;Superaequum 2;boúediín;[3];O-stem;151923
Old Sabellic;Anxanum 1;esmen;[3];O-stem;154496
Umbrian;Aveia 1;poimunien;[3];O-stem;151810
Old Sabellic;Cures 2;uepetí[n;[4];O-stem;151660
Oscan;Larinum 1 Coinage (1);ladinei;[1];O-stem;502902
Oscan;Crimisia 1;ϲακαρακιδι;[1];other;154989
Oscan;Crimisia 2;ϲακαρακιδιμα[ι;[1];other;154993
Oscan;Potentia 1;κενϲορτατηι·;[1];O-stem;154772
Oscan;Capua 16;[diuklei];[1];O-stem;152450
Oscan;Capua 18;sakrakḷ[ei;[1];O-stem;152465
Oscan;Capua 10;vesulia[is;[1];other;152415
Oscan;Capua 11;vesuliais;[1];other;152418
Oscan;Capua 12;vesuliais;[1];other;152421
Oscan;Capua 13;vesuliais;[1];other;152424
Oscan;Capua 15;fisiais;[1];other;152437
Oscan;Teanum Sidicinium 26;anei;[1];O-stem;152912
Oscan;Teanum Sidicinium 26;tiianei;[1];O-stem;152915
Oscan;Teanum Sidicinium 27;anei;[1];O-stem;152918
Oscan;Teanum Sidicinium 27;tiianei;[1];O-stem;152921
Oscan;Teanum Sidicinium 28;anei;[1];O-stem;152924
Oscan;Teanum Sidicinium 28;tiianei;[1];O-stem;152927
Oscan;Teanum Sidicinium 29;anei;[1];O-stem;152930
Oscan;Teanum Sidicinium 29;tiiane(i);[1];O-stem;152933
Oscan;Teanum Sidicinium 30;anei;[1];O-stem;152937
Oscan;Teanum Sidicinium 30;tiianei;[1];O-stem;152940
Oscan;Teanum Sidicinium 31;tiianei;[1];O-stem;152941
Oscan;Nuceria 1 Coinage (1);arasnei;[1];O-stem;502935
Oscan;Capua 24;iúkleí;[1];O-stem;150587
Oscan;Capua 24;iúkleí;[1];O-stem;150598
Oscan;Capua 29;lúvkei;[1];O-stem;152605
Oscan;Capua 21;súllemnaís;[1];other;152495
Oscan;Capua 23;eidụ́[í]s;[1];other;152525
Oscan;Capua 25;fiísíais;[1];other;152536
Oscan;Capua 25;me/ddikkiai;[1];other;152545
Oscan;Capua 26;fịisị́ais;[1];other;152555
Oscan;Capua 26;meddiki<a>i;[1];other;152564
Oscan;Capua 27;medik/kiaí;[1];other;152571
Oscan;Capua 28;medikiaị́;[1];other;152584
Oscan;Capua 29;ve/sulliaís;[1];other;152593
Oscan;Capua 29;m(edikkiaí);[1];other;152600
Oscan;Pompei 38;mefíta<n>aís;[1];other;153321
Oscan;Pompei 7;eị́[seík;[1];O-stem;150899
Oscan;Abella 1;tereí;[1];O-stem;150979
Oscan;Abella 1;tereí;[1];O-stem;151065
Oscan;Abella 1;tereí;[1];O-stem;151076
Oscan;Abella 1;thesavreí;[1];O-stem;151086
Oscan;Abella 1;víaí;[1];other;151106
Oscan;Abella 3;meddíkkiaí;[1];other;153726
Oscan;Pompei 10;m(e)d(díkkiaí);[1];other;153108
Old Sabellic;Interamnia Praetuttiorum 3;okreí;[1];other;151775
Oscan;Bantia 1;comẹnei;[1];O-stem;150032
Oscan;Bantia 1;zicel[ei;[1];O-stem;150065
Oscan;Bantia 1;comenei;[1];O-stem;150247
Oscan;Bantia 1;acenei;[1];O-stem;150476
Oscan;Bantia 1;<b>ansae;[1];other;150216
Oscan;Bantia 1;bansae;[1];other;150277
Oscan;Bantia 1;bansae;[1];other;150338
Oscan;Bantia 1;bansa[e;[1];other;150395
Old Sabellic;Cures 1;uẹ[peteí;[1];O-stem;151646
Oscan;Frentrum 1;frentreí;[1];O-stem;154476
Oscan;Frentrum 1;frentreí;[1];O-stem;154477
Oscan;Frentiae 1;frentiaís;[1];other;154472
Oscan;Teruentum 34;akeneí;[1];O-stem;151203
Oscan;Teruentum 34;akeneí;[1];O-stem;151254
Umbrian;Aveia 1;mesene;[1];other;151808
Oscan;Teruentum 33;]ẹí;[1];O-stem;154362
Old Sabellic;Cures 2;toútaih;[1];other;151662
Umbrian;Tadinum 3;maronato;[1];other;151452
Umbrian;Asisium 1;oht(retie);[1];O-stem;151466
Umbrian;Asisium 1;maronatei;[1];O-stem;151473
