;name;latin;latin_score;wold
24;to run;curro;0.5;0.03
91;the breast;mamma;1.0;0.06
102;the tear;lacrima;0.5;0.06
122;the heel;calx;1.0;0.07
165;the lip;labrum;0.25;0.08
179;slow;tarde;0.25;0.08
191;red;rufus;1.0;0.08
213;sweet;dulcis;0.25;0.09
226;the clay;argilla;1.0;0.09
245;the arm;brachium;1.0;0.1
286;the grasshopper;gryllus;1.0;0.1
287;the sand;sabulum;0.25;0.1
293;the stone or rock;lapis;0.75;0.11
317;the beeswax;cera;0.75;0.11
318;the knot;nodus;0.25;0.11
321;the palm of the hand;palma;0.25;0.11
424;the sow;scrofa / porca;0.25;0.14
432;the kid;haedus;1.0;0.14
487;the nettle;urtica;0.25;0.15
495;to carry on head;fero;1.0;0.15
0;...;...;...;...
45;the pipe;infurnibulum;0.0;0.6
42;the shovel;pala;0.0;0.61
41;the bill;nomen?;0.0;0.61
44;the tent;tabernaculum;0.0;0.61
39;the rug;stragulus;0.0;0.62
38;the cup;poculum;0.0;0.62
37;the candle;candela;0.0;0.62
36;the priest;sacerdos;0.0;0.62
35;the lamp or torch;lucerna;0.0;0.62
34;the temple;aedes;0.0;0.62
31;the law;lex;0.0;0.62
27;the towel;mantele;0.0;0.64
28;the religion;religio;0.0;0.64
21;the brick;later;0.0;0.66
16;the altar;ara;0.0;0.68
14;the school;ludus;0.0;0.69
10;the shop/store;taberna;0.0;0.7
9;the mule;mulus;0.0;0.7
8;the table;mensa;0.0;0.72
5;the calendar;fasti;0.0;0.77
